"시도","시군","읍면동","축종명","경영체수","시설없음","시설있음","자영","임차","규모","단위"
"서울특별시","마포구","합정동","육계",1,1,0,1,0,1,"마리"
"서울특별시","마포구","합정동","산란계",1,1,0,1,0,2,"마리"
"서울특별시","마포구","합정동","개",1,1,0,1,0,1,"마리"
"서울특별시","마포구","망원동","개",1,1,0,1,0,8,"마리"
"서울특별시","양천구","신월동","개",1,0,1,1,0,20,"마리"
"서울특별시","강서구","과해동","말",1,0,1,1,0,7,"마리"
"서울특별시","구로구","천왕동","개",1,0,1,1,0,31,"마리"
"서울특별시","구로구","항동","산양",1,0,1,1,0,20,"마리"
"서울특별시","관악구","신림동","산양",1,0,2,2,0,6,"마리"
"서울특별시","관악구","신림동","개",1,0,1,1,0,4,"마리"
"서울특별시","서초구","우면동","사슴",1,0,2,2,0,38,"마리"
"서울특별시","서초구","원지동","산양",1,0,1,1,0,30,"마리"
"서울특별시","서초구","원지동","사슴",1,0,1,1,0,30,"마리"
"서울특별시","서초구","내곡동","젖소",1,0,1,1,0,16,"마리"
"서울특별시","서초구","염곡동","육계",1,0,1,1,0,40,"마리"
"서울특별시","서초구","신원동","육계",1,0,1,1,0,25,"마리"
"서울특별시","서초구","신원동","개",1,0,1,1,0,45,"마리"
"서울특별시","서초구","신원동","토끼",1,0,1,1,0,200,"마리"
"서울특별시","강남구","수서동","관상조",1,0,1,0,1,100,"마리"
"서울특별시","송파구","문정동","육계",1,1,0,1,0,2,"마리"
"서울특별시","송파구","문정동","개",1,1,0,1,0,1,"마리"
"서울특별시","송파구","오금동","토끼",1,0,1,1,0,500,"마리"
"서울특별시","강동구","고덕동","산양",1,0,2,2,0,46,"마리"
"서울특별시","강동구","고덕동","개",2,0,2,2,0,61,"마리"
"서울특별시","강동구","암사동","육계",1,0,1,1,0,15,"마리"
"서울특별시","강동구","강일동","산양",1,0,2,2,0,50,"마리"
"서울특별시","강동구","강일동","개",1,0,1,1,0,32,"마리"
"부산광역시","북구","화명동","사슴",1,0,1,1,0,4,"마리"
"부산광역시","북구","만덕동","산양",1,0,1,1,0,7,"마리"
"부산광역시","북구","만덕동","육계",1,0,1,1,0,60,"마리"
"부산광역시","북구","만덕동","산란계",1,0,1,1,0,30,"마리"
"부산광역시","북구","만덕동","오리",1,0,1,1,0,20,"마리"
"부산광역시","북구","만덕동","개",1,0,2,2,0,28,"마리"
"부산광역시","북구","만덕동","토끼",1,0,1,1,0,16,"마리"
"부산광역시","해운대구","반송동","산양",1,0,1,1,0,7,"마리"
"부산광역시","해운대구","반송동","육계",1,0,1,1,0,102,"마리"
"부산광역시","해운대구","반송동","거위",1,0,1,1,0,4,"마리"
"부산광역시","해운대구","석대동","돼지",1,0,1,1,0,2,"마리"
"부산광역시","해운대구","석대동","육계",1,0,1,1,0,50,"마리"
"부산광역시","해운대구","반여동","육계",1,0,1,1,0,15,"마리"
"부산광역시","해운대구","좌동","한우",1,0,1,1,0,2,"마리"
"부산광역시","해운대구","좌동","산양",2,0,2,2,0,71,"마리"
"부산광역시","해운대구","좌동","육계",1,0,1,1,0,150,"마리"
"부산광역시","해운대구","좌동","개",1,0,1,1,0,20,"마리"
"부산광역시","사하구","장림동","한우",1,0,1,1,0,10,"마리"
"부산광역시","사하구","장림동","돼지",2,0,2,2,0,383,"마리"
"부산광역시","사하구","구평동","돼지",1,0,1,1,0,30,"마리"
"부산광역시","금정구","노포동","육계",1,0,1,1,0,30,"마리"
"부산광역시","금정구","남산동","개",1,0,1,1,0,200,"마리"
"부산광역시","금정구","금성동","한우",8,0,8,8,0,69,"마리"
"부산광역시","금정구","금성동","산양",6,0,9,8,1,357,"마리"
"부산광역시","금정구","금성동","육계",2,0,2,2,0,1020,"마리"
"부산광역시","금정구","금성동","개",4,1,3,4,0,54,"마리"
"부산광역시","강서구","대저1동","말",2,0,2,2,0,56,"마리"
"부산광역시","강서구","대저1동","한우",6,0,6,6,0,58,"마리"
"부산광역시","강서구","대저1동","육우",3,0,3,2,1,29,"마리"
"부산광역시","강서구","대저1동","돼지",4,0,4,4,0,1264,"마리"
"부산광역시","강서구","대저1동","산양",1,0,1,0,1,15,"마리"
"부산광역시","강서구","대저1동","육계",6,0,6,3,3,57075,"마리"
"부산광역시","강서구","대저1동","오리",1,0,1,0,1,5000,"마리"
"부산광역시","강서구","대저1동","개",9,0,9,6,3,1270,"마리"
"부산광역시","강서구","대저2동","말",1,0,1,1,0,7,"마리"
"부산광역시","강서구","대저2동","한우",8,0,8,8,0,244,"마리"
"부산광역시","강서구","대저2동","젖소",2,0,2,2,0,103,"마리"
"부산광역시","강서구","대저2동","육우",3,0,3,3,0,28,"마리"
"부산광역시","강서구","대저2동","돼지",1,0,1,1,0,620,"마리"
"부산광역시","강서구","대저2동","산양",2,0,2,2,0,101,"마리"
"부산광역시","강서구","대저2동","육계",6,0,6,3,3,23960,"마리"
"부산광역시","강서구","대저2동","오리",1,0,1,1,0,30,"마리"
"부산광역시","강서구","대저2동","거위",1,0,2,2,0,7,"마리"
"부산광역시","강서구","대저2동","관상조",1,0,1,1,0,1000,"마리"
"부산광역시","강서구","대저2동","개",6,0,8,7,1,234,"마리"
"부산광역시","강서구","대저2동","사슴",1,0,1,1,0,7,"마리"
"부산광역시","강서구","대저2동","꿩",1,0,1,1,0,6,"마리"
"부산광역시","강서구","강동동","한우",7,0,7,7,0,114,"마리"
"부산광역시","강서구","강동동","젖소",3,0,3,3,0,230,"마리"
"부산광역시","강서구","강동동","육우",3,0,3,3,0,72,"마리"
"부산광역시","강서구","강동동","산양",7,0,7,5,2,406,"마리"
"부산광역시","강서구","강동동","육계",3,0,3,2,1,227,"마리"
"부산광역시","강서구","강동동","오리",2,0,2,1,1,49,"마리"
"부산광역시","강서구","강동동","개",3,0,3,3,0,67,"마리"
"부산광역시","강서구","강동동","사슴",1,0,1,1,0,21,"마리"
"부산광역시","강서구","강동동","꿀벌",1,0,1,1,0,200,"군체"
"부산광역시","강서구","명지동","육계",1,0,1,1,0,300,"마리"
"부산광역시","강서구","명지동","개",1,0,1,1,0,60,"마리"
"부산광역시","강서구","죽림동","한우",1,0,1,1,0,8,"마리"
"부산광역시","강서구","식만동","돼지",1,0,1,1,0,1301,"마리"
"부산광역시","강서구","죽동동","한우",6,0,6,6,0,87,"마리"
"부산광역시","강서구","죽동동","육계",1,0,1,1,0,6000,"마리"
"부산광역시","강서구","봉림동","한우",1,0,1,1,0,2,"마리"
"부산광역시","강서구","봉림동","산양",1,0,1,1,0,80,"마리"
"부산광역시","강서구","봉림동","산란계",1,0,1,1,0,100,"마리"
"부산광역시","강서구","봉림동","관상조",1,0,1,1,0,3,"마리"
"부산광역시","강서구","봉림동","개",1,0,1,1,0,90,"마리"
"부산광역시","강서구","송정동","육계",1,0,1,1,0,350,"마리"
"부산광역시","강서구","송정동","개",1,0,1,1,0,30,"마리"
"부산광역시","강서구","송정동","꿀벌",1,0,1,1,0,80,"군체"
"부산광역시","강서구","화전동","한우",1,0,1,1,0,4,"마리"
"부산광역시","강서구","화전동","산양",1,0,1,1,0,14,"마리"
"부산광역시","강서구","녹산동","개",2,0,3,3,0,250,"마리"
