"등록일","시도","시군구","업종","축종","영업상태","개소","규모","동수"
20180401,"강원도","강원도 양구군","가축사육업                    ","육계","정상",14,17407.73,45
20180401,"경상북도","경상북도 경산시","가축사육업                    ","오리","폐업",1,197,1
20180401,"전라남도","전라남도 구례군","가축사육업                    ","한우","말소",42,8260.7,48
20180401,"경상남도","경상남도 창원시","가축사육업                    ","산양","정상",18,2832.81,24
20180401,"충청남도","충청남도 청양군","가축사육업                    ","젖소","정상",12,12965.8,33
20180401,"대구광역시","대구광역시 달성군","가축사육업                    ","육우","정상",9,5825.49,22
20180401,"충청북도","충청북도 증평군","가축사육업                    ","젖소","정상",10,11449.07,46
20180401,"경상남도","경상남도 김해시","가축사육업                    ","육우","폐업",6,4696.31,14
20180401,"대구광역시","대구광역시 북구","가축사육업                    ","한우","정상",70,32109.47,109
20180401,"경상남도","경상남도 하동군","가축사육업                    ","육계","정상",7,11265.9,21
20180401,"경상남도","경상남도 함양군","가축사육업                    ","육계","정상",6,13270.33,20
20180401,"전라남도","전라남도 나주시","가축사육업                    ","오리","폐업",76,325767.1,534
20180401,"전라남도","전라남도 해남군","가축사육업                    ","산란계","폐업",1,285.6,4
20180401,"경상북도","경상북도 문경시","가축사육업                    ","산란계","정상",13,19411.97,44
20180401,"경상남도","경상남도 하동군","가축사육업                    ","돼지","정상",31,39410.68,109
20180401,"경상남도","경상남도 남해군","가축사육업                    ","돼지","말소",4,2457,10
20180401,"강원도","강원도 홍천군","가축사육업                    ","육계","폐업",6,15681.76,40
20180401,"경상북도","경상북도 안동시","가축사육업                    ","육우","정상",7,7322.12,14
20180401,"전라남도","전라남도 해남군","가축사육업                    ","육우","정상",5,3937,8
20180401,"경상북도","경상북도 경산시","가축사육업                    ","육우","정상",20,17016.34,48
20180401,"충청북도","충청북도 보은군","가축사육업                    ","한우","말소",64,11430.29,83
20180401,"제주특별자치도","제주특별자치도 서귀포시","가축사육업                    ","육계","정상",18,21575.45,88
20180401,"전라남도","전라남도 나주시","가축사육업                    ","젖소","정상",87,152197.31,303
20180401,"전라남도","전라남도 영암군","가축사육업                    ","육계","정상",62,186837.93,376
20180401,"전라북도","전라북도 임실군","가축사육업                    ","육계","폐업",18,44556.7,69
20180401,"경기도","경기도 이천시","가축사육업                    ","한우","말소",63,10167.25,85
20180401,"경기도","경기도 포천시","가축사육업                    ","젖소","말소",22,14213.2,57
20180401,"경기도","경기도 연천군","가축사육업                    ","염소","정상",11,1745,12
20180401,"전라남도","전라남도 담양군","가축사육업                    ","한우","말소",55,11924.79,84
20180401,"전라남도","전라남도 광양시","가축사육업                    ","한우","정상",125,50248.53,232
20180401,"부산광역시","부산광역시 강서구","가축사육업                    ","오리","폐업",3,2744.5,6
20180401,"경기도","경기도 여주시","가축사육업                    ","한우","휴업",36,13418.07,52
20180401,"강원도","강원도 영월군","가축사육업                    ","한우","폐업",81,21206.02,118
20180401,"전라남도","전라남도 나주시","가축사육업                    ","돼지","정상",105,201634.85,621
20180401,"전라북도","전라북도 익산시","가축사육업                    ","한우","폐업",223,49975.94,287
20180401,"경상북도","경상북도 칠곡군","가축사육업                    ","산란계","정상",50,50674.36,163
20180401,"대전광역시","대전광역시 유성구","가축사육업                    ","산란계","정상",4,5269,21
20180401,"전라북도","전라북도 익산시","가축사육업                    ","육계","정상",134,387778.54,830
20180401,"경기도","경기도 파주시","가축사육업                    ","돼지","정상",139,152561.95,486
20180401,"강원도","강원도 횡성군","가축사육업                    ","한우","휴업",33,10303.79,47
20180401,"강원도","강원도 화천군","가축사육업                    ","돼지","정상",20,33610.75,84
20180401,"경상북도","경상북도 칠곡군","가축사육업                    ","산란계","폐업",27,15873.9,87
20180401,"경상북도","경상북도 칠곡군","가축사육업                    ","돼지","폐업",22,28296.46,98
20180401,"경상북도","경상북도 영주시","가축사육업                    ","돼지","정상",52,87130.9,265
20180401,"충청북도","충청북도 청주시","가축사육업                    ","한우","정상",1241,698304.52,2389
20180401,"강원도","강원도 홍천군","가축사육업                    ","돼지","정상",34,61313.6,198
20180401,"강원도","강원도 횡성군","가축사육업                    ","한우","폐업",334,99901.1,436
20180401,"전라북도","전라북도 정읍시","가축사육업                    ","산양","정상",21,8558.41,31
20180401,"강원도","강원도 평창군","가축사육업                    ","돼지","정상",12,16918.2,50
20180401,"강원도","강원도 춘천시","가축사육업                    ","산양","폐업",4,1849.34,8
20180401,"충청북도","충청북도 충주시","가축사육업                    ","산양","휴업",3,1503,4
20180401,"충청남도","충청남도 부여군","가축사육업                    ","염소","정상",26,5611.84,30
20180401,"전라북도","전라북도 진안군","가축사육업                    ","산란계","정상",3,8320.2,24
20180401,"경상남도","경상남도 사천시","가축사육업                    ","산양","정상",10,4237.47,20
20180401,"인천광역시","인천광역시 옹진군","가축사육업                    ","육계","정상",6,1658,11
20180401,"강원도","강원도 양구군","가축사육업                    ","오리","폐업",2,13881,25
20180401,"경상북도","경상북도 군위군","가축사육업                    ","사슴","정상",3,2669,6
20180401,"전라남도","전라남도 목포시","가축사육업                    ","한우","정상",17,8460.26,23
20180401,"세종특별자치시","세종특별자치시","가축사육업                    ","한우","폐업",158,85725.7,340
20180401,"전라남도","전라남도 함평군","부화업                        "," ","폐업",2,0,0
20180401,"전라남도","전라남도 영광군","부화업                        "," ","정상",1,0,0
20180401,"경상북도","경상북도 상주시","부화업                        "," ","정상",1,0,0
20180401,"경상북도","경상북도 청도군","부화업                        "," ","폐업",1,0,0
20180401,"경상북도","경상북도 예천군","부화업                        "," ","폐업",1,0,0
20180401,"충청북도","충청북도 청주시","부화업                        "," ","폐업",7,0,0
