"시군구","계","논","밭"
"전국",1620796.0525,864864.8449,755931.2076
"서울",402.1097,167.4724,234.6373
"부산",5742.36,3242.8121,2499.5479
"　　　기장군",1565.7828,642.1182,923.6646
"　　　기장군외",4176.5772,2600.6939,1575.8833
"대구",8061.5645,3993.7621,4067.8024
"　　　달성군",5590.4877,3429.2735,2161.2142
"　　　달성군외",2471.0768,564.4886,1906.5882
"인천",19003.8725,12222.9811,6780.8914
"　　　강화군",14175.7086,10103.9789,4071.7297
"　　　강화군외",4828.1639,2119.0022,2709.1617
"광주",9446.1919,5931.3123,3514.8796
"　　　광산구",5348.7703,3337.2237,2011.5466
"　　　광산구외",4097.4216,2594.0886,1503.333
"대전",3888.2513,1458.0793,2430.172
"울산",10540.3375,5636.127,4904.2105
"　　　울주군",8767.8543,4847.8303,3920.024
"　　　울주군외",1772.4832,788.2967,984.1865
"세종특별자치시",7957.7117,4512.784,3444.9277
"경기",165707.4763,88732.9715,76974.5048
"　　　수원시",1051.0331,474.5182,576.5149
"　　　성남시",460.5323,46.7587,413.7736
"　　　의정부시",328.3887,128.371,200.0177
"　　　안양시",64.1742,0,64.1742
"　　　부천시",534.6451,276.0628,258.5823
"　　　광명시",448.0164,130.6516,317.3648
"　　　평택시",18740.1232,13074.3182,5665.805
"　　　동두천시",393.3372,77.8881,315.4491
"　　　안산시",1970.021,709.0907,1260.9303
"　　　고양시",3806.0671,1423.9766,2382.0905
"　　　과천시",224.6135,13.6885,210.925
"　　　구리시",302.7092,0,302.7092
"　　　남양주시",2779.6324,273.7388,2505.8936
"　　　오산시",448.7696,244.8831,203.8865
"　　　시흥시",2520.7167,953.2708,1567.4459
"　　　군포시",187.6684,81.1894,106.479
"　　　의왕시",488.324,93.5008,394.8232
"　　　하남시",298.0286,7.1604,290.8682
"　　　용인시",7234.1098,4219.7145,3014.3953
"　　　파주시",10768.855,6797.4251,3971.4299
"　　　이천시",16832.4257,8901.2775,7931.1482
"　　　안성시",15133.6277,8482.0142,6651.6135
"　　　김포시",7371.355,5222.6832,2148.6718
"　　　화성시",21521.3283,13662.0597,7859.2686
"　　　광주시",2870.4251,830.5588,2039.8663
"　　　양주시",3973.0048,1599.7721,2373.2327
"　　　포천시",9790.6404,3738.0346,6052.6058
"　　　여주시",15419.8248,8274.7254,7145.0994
"　　　연천군",8481.5731,3769.7906,4711.7825
"　　　가평군",3196.7734,1134.2938,2062.4796
"　　　양평군",8066.7325,4091.5543,3975.1782
"강원",103133.0641,35681.5003,67451.5638
"　　　춘천시",6556.598,1958.8231,4597.7749
"　　　원주시",8132.4818,3755.8339,4376.6479
"　　　강릉시",7309.9081,2570.6551,4739.253
"　　　동해시",911.4028,261.4476,649.9552
