"시군","code","output","treated","diff","unit"
"가평군","31370",68156.4865,100800,-32643.5135,"ton/year"
"강남구","11230",0,0,0,"ton/year"
"강동구","11250",0,0,0,"ton/year"
"강릉시","32030",48123.206,52073,-3949.794,"ton/year"
"강북구","11090",0,0,0,"ton/year"
"강서구","11160",7852.5735,0,7852.5735,"ton/year"
"강서구","21120",7852.5735,0,7852.5735,"ton/year"
"강진군","36390",133005.3065,131735,1270.30650000001,"ton/year"
"강화군","23310",122130.971,0,122130.971,"ton/year"
"거제시","38090",11851.185,14886,-3034.815,"ton/year"
"거창군","38390",147959.3565,159715,-11755.6435,"ton/year"
"경산시","37100",202715.087,211239,-8523.913,"ton/year"
"경주시","37020",493469.1595,555488,-62018.8405,"ton/year"
"계룡시","34070",2008.96,0,2008.96,"ton/year"
"계양구","23070",9433.352,0,9433.352,"ton/year"
"고령군","37370",84383.912,89221,-4837.088,"ton/year"
"고성군","38340",153367.9995,178535,-25167.0005,"ton/year"
"고성군","32400",153367.9995,178535,-25167.0005,"ton/year"
"고양시","31100",69949.987,95185,-25235.013,"ton/year"
"고창군","35370",248860.358,239855,9005.35800000001,"ton/year"
"고흥군","36350",167664.3195,185776,-18111.6805,"ton/year"
"곡성군","36320",83252.1565,81694,1558.1565,"ton/year"
"공주시","34020",249319.3455,283006,-33686.6545,"ton/year"
"과천시","31110",580.058,0,580.058,"ton/year"
"관악구","11210",0,0,0,"ton/year"
"광명시","31060",3889.367,5921,-2031.633,"ton/year"
"광산구","24050",25490.067,0,25490.067,"ton/year"
"광양시","36060",16874.388,20263,-3388.612,"ton/year"
"광주광역시",NA,NA,33913,NA,"ton/year"
"광주시","31250",36582.0885,43413,-6830.9115,"ton/year"
"광진구","11050",0,0,0,"ton/year"
"괴산군","33360",87437.5385,94145,-6707.4615,"ton/year"
"구례군","36330",38817.385,40307,-1489.61500000001,"ton/year"
"구로구","11170",0,0,0,"ton/year"
"구리시","31120",1977.497,3730,-1752.503,"ton/year"
"구미시","37050",186312.352,190619,-4306.64800000002,"ton/year"
"군산시","35020",45823.487,43282,2541.487,"ton/year"
"군위군","37310",77596.7735,102095,-24498.2265,"ton/year"
"군포시","31160",1100.11,1605,-504.89,"ton/year"
"권선구","31012",0,0,0,"ton/year"
"금산군","34310",61565.9735,74926,-13360.0265,"ton/year"
"금정구","21110",345.0345,0,345.0345,"ton/year"
"금천구","11180",0,0,0,"ton/year"
"기장군","21310",6189.4145,0,6189.4145,"ton/year"
"기흥구","31192",0,0,0,"ton/year"
"김제시","35060",211433.915,217254,-5820.08500000002,"ton/year"
"김천시","37030",217626.9795,270881,-53254.0205,"ton/year"
"김포시","31230",88168.378,99367,-11198.622,"ton/year"
"김해시","38070",158709.592,0,158709.592,"ton/year"
"나주시","36040",318977.807,329385,-10407.193,"ton/year"
"남구","23030",950.095,0,950.095,"ton/year"
"남구","24030",950.095,0,950.095,"ton/year"
"남구","37011",950.095,0,950.095,"ton/year"
"남구","22040",950.095,0,950.095,"ton/year"
"남구","26020",950.095,0,950.095,"ton/year"
"남구","21070",950.095,0,950.095,"ton/year"
"남동구","23050",1135.515,0,1135.515,"ton/year"
"남양주시","31130",89479.5675,115018,-25538.4325,"ton/year"
"남원시","35050",192064.4965,203708,-11643.5035,"ton/year"
"남해군","38350",69267.51,70990,-1722.49000000001,"ton/year"
"노원구","11110",0,0,0,"ton/year"
"논산시","34060",155271.73,176221,-20949.27,"ton/year"
"단양군","33380",13671.367,15991,-2319.633,"ton/year"
"단원구","31092",0,0,0,"ton/year"
"달서구","22070",0,0,0,"ton/year"
"달성군","22310",51203.1125,0,51203.1125,"ton/year"
"담양군","36310",129974.8575,138714,-8739.1425,"ton/year"
"당진시","34080",310825.4225,329168,-18342.5775,"ton/year"
"대구광역시",NA,NA,108939,NA,"ton/year"
"대덕구","25050",355.0355,0,355.0355,"ton/year"
"덕양구","31101",0,0,0,"ton/year"
"덕진구","35012",0,0,0,"ton/year"
"도봉구","11100",0,0,0,"ton/year"
"동구","24010",19190.824,0,19190.824,"ton/year"
"동구","21030",19190.824,0,19190.824,"ton/year"
"동구","25010",19190.824,0,19190.824,"ton/year"
"동구","26030",19190.824,0,19190.824,"ton/year"
"동구","23020",19190.824,0,19190.824,"ton/year"
"동구","22020",19190.824,0,19190.824,"ton/year"
"동남구","34011",0,0,0,"ton/year"
"동대문구","11060",0,0,0,"ton/year"
"동두천시","31080",8524.429,11574,-3049.571,"ton/year"
"동래구","21060",0,0,0,"ton/year"
"동부","26003",0,0,0,"ton/year"
"동부","29003",0,0,0,"ton/year"
"동부","31003",0,0,0,"ton/year"
"동부","23003",0,0,0,"ton/year"
"동부","32003",0,0,0,"ton/year"
"동부","37003",0,0,0,"ton/year"
"동부","38003",0,0,0,"ton/year"
"동부","33003",0,0,0,"ton/year"
"동부","35003",0,0,0,"ton/year"
"동부","34003",0,0,0,"ton/year"
"동부","21003",0,0,0,"ton/year"
"동부","22003",0,0,0,"ton/year"
"동부","39003",0,0,0,"ton/year"
"동부","36003",0,0,0,"ton/year"
"동안구","31042",0,0,0,"ton/year"
"동작구","11200",0,0,0,"ton/year"
"동해시","32040",4482.9665,4675,-192.0335,"ton/year"
"마산합포구","38113",0,0,0,"ton/year"
"마산회원구","38114",0,0,0,"ton/year"
"마포구","11140",0,0,0,"ton/year"
"만안구","31041",0,0,0,"ton/year"
"면부","23005",0,0,0,"ton/year"
"면부","21005",0,0,0,"ton/year"
"면부","38005",0,0,0,"ton/year"
"면부","22005",0,0,0,"ton/year"
"면부","29005",0,0,0,"ton/year"
"면부","31005",0,0,0,"ton/year"
"면부","39005",0,0,0,"ton/year"
"면부","33005",0,0,0,"ton/year"
"면부","37005",0,0,0,"ton/year"
"면부","34005",0,0,0,"ton/year"
"면부","36005",0,0,0,"ton/year"
"면부","26005",0,0,0,"ton/year"
"면부","35005",0,0,0,"ton/year"
"면부","32005",0,0,0,"ton/year"
"목포시","36010",1350.135,0,1350.135,"ton/year"
"무안군","36420",158966.771,169259,-10292.229,"ton/year"
"무주군","35330",42532.3915,49175,-6642.6085,"ton/year"
"문경시","37090",145345.409,163292,-17946.591,"ton/year"
"밀양시","38080",157133.8505,151157,5976.8505,"ton/year"
"보령시","34030",175696.619,0,175696.619,"ton/year"
"보성군","36360",116917.6395,111165,5752.6395,"ton/year"
"보은군","33320",162175.778,176683,-14507.222,"ton/year"
"봉화군","37410",103106.7695,112740,-9633.23050000001,"ton/year"
"부산진구","21050",0,0,0,"ton/year"
"부안군","35380",118877.872,122941,-4063.12800000001,"ton/year"
"부여군","34330",150822.4165,159565,-8742.58350000001,"ton/year"
"부천시","31050",30.003,115,-84.997,"ton/year"
"부평구","23060",0,0,0,"ton/year"
"북구","26040",36203.62,0,36203.62,"ton/year"
"북구","37012",36203.62,0,36203.62,"ton/year"
"북구","21080",36203.62,0,36203.62,"ton/year"
"북구","24040",36203.62,0,36203.62,"ton/year"
"북구","22050",36203.62,0,36203.62,"ton/year"
"분당구","31023",0,0,0,"ton/year"
