조사년도,행정-시도코드명,행정-시군코드명,행정-읍면코드명,법인체수,가축원뇨수거-원뇨수거(톤/일),가축원뇨수거-수거물량(통),퇴액비생산-계(톤),퇴액비생산-퇴비화,퇴액비생산-액비화,퇴액비생산-정화,퇴액비생산-기타,액비수거-원뇨수거(톤/일),액비수거-수거물량(톤),액비살포-살포면적(m2),액비살포-살포량(톤)
"2016","세종특별자치시","세종시","연서면","10   ","129","11676.6","0","0","0","0","0","129","11676.6","13552407.4",72103.8
"2016","제주특별자치도","서귀포시","중문동","7    ","14","1286","0","0","0","0","0","0","0","143142500.63",55634.2
"2016","경기도","파주시","금촌1동","4    ","22","2019.8","0","0","0","0","0","0","0","7853321",35717
"2016","경기도","연천군","전곡읍","4    ","55","5000","0","0","0","0","0","55","5000","5656419.6",49483
"2016","경기도","화성시","장안면","3    ","16","1456.74","0","0","0","0","0","16","1456.74","14014914.4",65810.692
"2016","경기도","포천시","창수면","3    ","46","4206","71961","0","71961","0","0","46","4206","22479755.3",57170.4
"2016","경기도","여주시","중앙동","3    ","31","2856","0","0","0","0","0","31","2856","57027966.4",65014
"2016","충청북도","괴산군","괴산읍","8    ","100","9070.48","-82496.24","0","0","0","0","100","9070.48","29771396.44",176634
"2016","충청남도","공주시","신관동","4    ","33","3012","0","0","0","0","0","34","3064","6489098.08",25694
"2016","충청남도","공주시","월송동","2    ","0","30.66","0","0","0","0","0","0","30.66","727576",686.386
"2016","충청남도","논산시","광석면","5    ","87","7847.7","0","0","0","0","0","0","0","52170171.41",148815.248
"2016","충청남도","청양군","청양읍","2    ","17","1596","0","0","0","0","0","17","1596","2931286.8",1069.36
"2016","충청남도","홍성군","홍성읍","3    ","0","19.35","0","0","0","0","0","0","19.35","4808521",15619
"2016","충청남도","홍성군","갈산면","4    ","1","108","0","0","0","0","0","0","0","6926540.4",13664
"2016","충청남도","예산군","예산읍","20   ","485","43718","1195957.6","0","851098.2","0","0","485","43718","57952812.4",133903.04
"2016","전라북도","익산시","함열읍","5    ","72","6500","81739","0","81739","0","0","338","30500","28773138.11",104821.4
