"시군","축종","발생량","퇴비화","액비화","정화방류","공동자원화","공공처리장","경축순환","농협퇴비장","부산물비료","액비유통","정화방류__1","기타"
"대구광역시","합계",157096,149261,7835,0,0,0,0,0,0,0,0,0
"대구광역시","한육우",84748,84748,0,0,0,0,0,0,0,0,0,0
"대구광역시","젖소",24191,24191,0,0,0,0,0,0,0,0,0,0
"대구광역시","돼지",15495,7660,7835,0,0,0,0,0,0,0,0,0
"대구광역시","닭오리",32661,32661,0,0,0,0,0,0,0,0,0,0
"인천광역시","합계",323922,259569,9997,18244,0,17753,0,0,0,0,0,18359
"인천광역시","한육우",111846,111817,0,0,0,0,0,0,0,0,0,29
"인천광역시","젖소",49414,49414,0,0,0,0,0,0,0,0,0,0
"인천광역시","돼지",86308,22070,9997,18244,0,17753,0,0,0,0,0,18244
"인천광역시","닭오리",76355,76268,0,0,0,0,0,0,0,0,0,87
"광주광역시","합계",74110,50792,9018,0,0,42,0,0,10393,3865,0,0
"광주광역시","한육우",23262,23240,0,0,0,22,0,0,0,0,0,0
"광주광역시","젖소",10651,9615,0,0,0,0,0,0,1036,0,0,0
"광주광역시","돼지",16804,3921,9018,0,0,0,0,0,0,3865,0,0
"광주광역시","닭오리",23393,14016,0,0,0,20,0,0,9357,0,0,0
"울산광역시","합계",240388,122745,15690,4890,2913,9651,0,0,83613,0,0,886
"울산광역시","한육우",168047,106827,0,0,1250,0,0,0,59970,0,0,0
"울산광역시","젖소",16953,10173,0,0,0,0,0,0,6780,0,0,0
"울산광역시","돼지",37558,5745,15690,4890,719,9651,0,0,863,0,0,0
"울산광역시","닭오리",17830,0,0,0,944,0,0,0,16000,0,0,886
"세종특별자치시","합계",487084,244880,74150,10320,35,36827,0,0,120846,0,0,26
"세종특별자치시","한육우",119092,95263,0,0,0,0,0,0,23819,0,0,10
"세종특별자치시","젖소",95195,76153,0,0,0,0,0,0,19039,0,0,3
"세종특별자치시","돼지",177689,56345,74150,10320,35,36827,0,0,0,0,0,12
"세종특별자치시","닭오리",95108,17119,0,0,0,0,0,0,77988,0,0,1
"수원시","합계",10128,10128,0,0,0,0,0,0,0,0,0,0
"수원시","한육우",2050,2050,0,0,0,0,0,0,0,0,0,0
"수원시","젖소",7926,7926,0,0,0,0,0,0,0,0,0,0
"수원시","돼지",15,15,0,0,0,0,0,0,0,0,0,0
"수원시","닭오리",137,137,0,0,0,0,0,0,0,0,0,0
"성남시","합계",1215,1215,0,0,0,0,0,0,0,0,0,0
"성남시","한육우",30,30,0,0,0,0,0,0,0,0,0,0
"성남시","젖소",0,0,0,0,0,0,0,0,0,0,0,0
"성남시","돼지",0,0,0,0,0,0,0,0,0,0,0,0
"성남시","닭오리",1185,1185,0,0,0,0,0,0,0,0,0,0
"의정부시","합계",3140,3140,0,0,0,0,0,0,0,0,0,0
"의정부시","한육우",975,975,0,0,0,0,0,0,0,0,0,0
"의정부시","젖소",2037,2037,0,0,0,0,0,0,0,0,0,0
"의정부시","돼지",0,0,0,0,0,0,0,0,0,0,0,0
"의정부시","닭오리",128,128,0,0,0,0,0,0,0,0,0,0
