"시군","id","n","output"
"가평군","117",2822,68156.4865
"강릉시","121",3456,48123.206
"강서구","15",2496,7852.5735
"강서구","36",5807,7852.5735
"강진군","195",6813,133005.3065
"강화군","57",11330,122130.971
"거제시","240",20120,11851.185
"거창군","250",3176,147959.3565
"경산시","215",3886,202715.087
"경주시","207",5885,493469.1595
"계룡시","159",1288,2008.96
"계양구","55",2317,9433.352
"고령군","222",2845,84383.912
"고성군","135",16618,153367.9995
"고성군","245",890,153367.9995
"고창군","181",6829,248860.358
"고흥군","191",28773,167664.3195
"곡성군","189",3541,83252.1565
"공주시","154",5124,249319.3455
"과천시","96",894,580.058
"광명시","88",2495,3889.367
"광산구","63",3691,25490.067
"광양시","187",4831,16874.388
"광주시","112",3175,36582.0885
"괴산군","148",4579,87437.5385
"구례군","190",2131,38817.385
"구리시","97",717,1977.497
"구미시","210",3235,186312.352
"군산시","170",9688,45823.487
"군위군","216",2812,77596.7735
"군포시","101",1418,1100.11
"금산군","161",3332,61565.9735
"금정구","35",1058,345.0345
"기장군","40",4637,6189.4145
"김제시","174",4253,211433.915
"김천시","208",4316,217626.9795
"김포시","110",3180,88168.378
"김해시","238",2928,158709.592
"나주시","186",7635,318977.807
"남구","61",2178,950.095
"남구","70",2606,950.095
"남구","44",574,950.095
"남구","31",1135,950.095
"남구","51",856,950.095
"남동구","53",2228,1135.515
"남양주시","98",1926,89479.5675
"남원시","173",3565,192064.4965
"남해군","246",20172,69267.51
"논산시","158",5004,155271.73
"단양군","150",3565,13671.367
"담양군","188",4014,129974.8575
"당진시","160",6389,310825.4225
"대덕구","68",1642,355.0355
"동구","42",1976,19190.824
"동구","71",1886,19190.824
"동구","50",997,19190.824
"동구","27",804,19190.824
"동구","64",2443,19190.824
"동구","59",759,19190.824
"동두천시","90",1184,8524.429
"동해시","122",1970,4482.9665
"목포시","183",651,1350.135
"무안군","198",12063,158966.771
"무주군","177",3423,42532.3915
"문경시","214",5280,145345.409
"밀양시","239",1856,157133.8505
"보령시","155",9312,175696.619
"보성군","192",8535,116917.6395
"보은군","143",3389,162175.778
"봉화군","226",4591,103106.7695
"부안군","182",8402,118877.872
"부여군","162",4685,150822.4165
"북구","72",2892,36203.62
"북구","32",491,36203.62
"북구","62",2433,36203.62
"북구","45",1475,36203.62
"사천시","237",10719,95898.202
"사하구","34",2039,50.005
"산청군","248",3208,68961.275
"삼척시","125",4825,45204.52
